query_id,dam_size_gb,table_size_gb,migration_size_gb,migration_duration_ns
5,10.0,5.0,3.701850486919284,107506237.0
5,12.5,1.25,1.1183833116665483,33240841.0
5,12.5,2.5,2.4826178839430213,72273510.0
5,12.5,5.0,3.701850486919284,107445347.0
5,12.5,6.25,5.359835967421532,154687598.0
6,2.5,0.5,0.2799990875646472,9299648.0
6,2.5,0.75,0.5606632959097624,17469506.0
6,2.5,1.0,0.9887649547308683,29618719.0
6,2.5,1.25,0.9887649547308683,29581199.0
6,5.0,0.5,0.2799990875646472,9272758.0
6,5.0,1.0,0.9887649547308683,29626558.0
6,5.0,1.5,1.2687640422955155,37800525.0
6,5.0,2.0,1.5494282506406307,46039142.0
6,5.0,2.5,1.5494282506406307,46103520.0
6,7.5,0.75,0.5606632959097624,17451695.0
6,7.5,1.5,1.2687640422955155,37925922.0
6,7.5,2.25,1.5494282506406307,46104358.0
6,7.5,3.0,1.5494282506406307,46015569.0
6,7.5,3.75,3.2074137311428785,93540822.0
6,10.0,1.0,0.9887649547308683,30048452.0
6,10.0,2.0,1.5494282506406307,46926706.0
6,10.0,3.0,1.5494282506406307,46011273.0
6,10.0,4.0,3.2074137311428785,93573291.0
6,10.0,5.0,3.2074137311428785,93606458.0
6,12.5,1.25,0.9887649547308683,29598313.0
6,12.5,2.5,1.5494282506406307,46091339.0
6,12.5,3.75,3.2074137311428785,93654631.0
6,12.5,5.0,3.2074137311428785,93518749.0
6,12.5,6.25,3.2074137311428785,93445797.0
7,2.5,0.25,0.03729777131229639,2802796.0
7,2.5,0.5,0.45447651762515306,14021536.0
7,2.5,0.75,0.7340695010498166,22041196.0
7,2.5,1.0,0.9981033420190215,29836047.0
7,2.5,1.25,1.0260627260431647,30602090.0
7,5.0,0.5,0.45447651762515306,14021846.0
7,5.0,1.0,0.9981033420190215,30037314.0
7,5.0,1.5,1.4432414723560214,42588472.0
7,5.0,2.0,1.722834455780685,50646841.0
7,5.0,2.5,2.2818645955994725,66855005.0
7,7.5,0.75,0.7340695010498166,21954534.0
7,7.5,1.5,1.4432414723560214,42763889.0
7,7.5,2.25,2.002833543345332,58870335.0
7,7.5,3.0,2.9123520674183965,84691703.0
7,7.5,3.75,3.6095299012959003,104896590.0
7,10.0,1.0,0.9981033420190215,29858814.0
7,10.0,2.0,1.722834455780685,51559007.0
7,10.0,3.0,2.9123520674183965,84616412.0
7,10.0,4.0,3.8885609535500407,112960843.0
7,10.0,5.0,4.4481530245393515,129257228.0
7,12.5,1.25,1.0260627260431647,30628523.0
7,12.5,2.5,2.2818645955994725,66926897.0
7,12.5,3.75,3.6095299012959003,105056161.0
7,12.5,5.0,4.4481530245393515,129013248.0
7,12.5,6.25,6.106138505041599,176488366.0
8,2.5,0.25,0.24993678834289312,8217468.0
8,2.5,0.5,0.3276874041184783,11037443.0
8,2.5,0.75,0.744866150431335,22545671.0
8,2.5,1.0,0.9871800122782588,29401791.0
8,2.5,1.25,1.0244591338559985,30445471.0
8,5.0,0.5,0.3276874041184783,11385180.0
8,5.0,1.0,0.9871800122782588,29497029.0
8,5.0,1.5,1.3044582214206457,38730867.0
8,5.0,2.0,1.9635872105136514,57427301.0
8,5.0,2.5,2.4180450784042478,70497603.0
8,7.5,0.75,0.744866150431335,22425891.0
8,7.5,1.5,1.3044582214206457,38795604.0
8,7.5,2.25,2.243180193938315,65499586.0
8,7.5,3.0,2.9776371493935585,86418648.0
8,7.5,3.75,3.5362611850723624,102529061.0
8,10.0,1.0,0.9871800122782588,29314749.0
8,10.0,2.0,1.9635872105136514,58355688.0
8,10.0,3.0,2.9776371493935585,86656933.0
8,10.0,4.0,3.8162602726370096,110648783.0
8,10.0,5.0,3.8162602726370096,110879027.0
